first,  last
Gene,Higgins
Gene,Burgess
Johnny,Diaz
Nathan,Logan
Blake,Simon
Eugenia,Wagner
Alfred,Ortega
Logan,Peters
Chris,Maxwell
Rena,Sharp
Erik,Lewis
Leroy,Harris
Effie,Stone
Duane,Phelps
Herman,Hicks
Johnny,Ward
Nannie,Warner
Rosie,Harvey
Cynthia,Scott
Helena,Austin
Margaret,Briggs
Brandon,Hicks
Della,Park
Beatrice,Collins
Mittie,Roy
Olga,Mack
Hettie,Snyder
Georgie,Chandler
Charlie,Little
George,Potter
Virgie,Guerrero
Alex,Lawrence
Mittie,Bell
Loretta,Clarke
Lilly,Kelly
Garrett,Cohen
Agnes,Walters
Elnora,Byrd
Adelaide,Wagner
Hilda,Daniels
Ophelia,Franklin
Nelle,May
Richard,Sanders
Terry,Ortega
Eliza,Fields
Johanna,Ramos
Jon,Fox
Tommy,Logan
Clyde,Morris
Mary,Adkins
Jeremy,Thomas
Donald,Morton
Millie,Fox
Mabelle,Cook
Gary,Adams
Sue,Hodges
Carrie,Hammond
Belle,Rodriquez
Travis,Barber
Joel,Ramsey
Nancy,Todd
Cordelia,Butler
Marguerite,Ward
Rose,Roberson
Nora,Reese
Belle,Holmes
Earl,Patrick
Evelyn,McLaughlin
Charlie,Ferguson
Dean,Norman
Evelyn,Owen
Edward,Nguyen
Joel,Chandler
Lucas,Barker
Luella,Freeman
Katie,Wheeler
Millie,Wagner
Iva,Howell
Lillian,Park
Patrick,Francis
Jeffrey,Strickland
Birdie,Murray
Sarah,Mann
Juan,Hogan
Ruby,Lawson
Virgie,Tyler
Sam,Lamb
Sam,Daniel
Ann,Pena
Mae,Wilson
Hilda,Ingram
Timothy,Daniel
Jordan,Lyons
Minerva,Clayton
Dollie,Allison
Nellie,Powell
Dollie,Hammond
Ada,Horton
Allen,Hart
Leah,Beck
Leo,Lynch
Isaiah,McDonald
Kyle,Howard
Mayme,Lane
Francis,Curry
Elmer,Lambert
Lela,Malone
Violet,Castro
Helen,Ross
Hallie,Hart
Frank,Salazar
Barbara,Ingram
May,Barker
Danny,Henderson
Ellen,Martin
Zachary,Mendez
Mitchell,Reid
Don,Drake
Darrell,Kelly
Jacob,Burke
Sophie,Cole
Virgie,Salazar
Aaron,Hale
Mable,Harmon
Louis,Terry
Georgia,Fuller
Melvin,Miles
Lee,Delgado
Robert,Clayton
Gavin,Nguyen
Troy,Santiago
Viola,Doyle
Myrtle,McBride
Sallie,Peterson
Clara,Edwards
Arthur,Blake
Justin,Berry
Katherine,Fowler
Cornelia,Cunningham
Rose,Cannon
Eva,Moody
Josephine,Barber
Matthew,Townsend
Hannah,Shelton
Essie,Sparks
Franklin,Gomez
Rena,Thomas
Elva,Pratt
Leroy,Walker
Lillie,Banks
Noah,Hogan
Lina,Alexander
Henry,Dixon
Ivan,Abbott
Caleb,Foster
Paul,Matthews
Wayne,Townsend
Gavin,Mendez
Sallie,Goodman
Ray,Ortega
Lina,Stanley
Maude,Taylor
Mittie,Klein
Francis,Peterson
Lee,Mann
Victoria,Ramirez
Fanny,Ruiz
Clyde,Benson
Lizzie,Caldwell
Jordan,Garcia
Iva,Harrington
Lucinda,Townsend
Randy,Lamb
Barbara,Ramos
Lura,Kennedy
John,Moody
Lawrence,Wilkins
Lucille,Sparks
Andrew,Warner
Jeffery,George
Helena,Burgess
Jessie,Meyer
Miguel,Cox
Jonathan,Nguyen
Henrietta,Bowman
Clara,Fernandez
Celia,Maxwell
Ollie,Mann
Jesus,Fox
Sally,Hale
Abbie,Frank
Arthur,Rios
Alan,Griffith
Kenneth,Newman
Luke,Love
Dale,Mills
Chase,Ruiz
