PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
892,0,3,male,34.5,0,0,7.8292,Q
893,1,3,female,47.0,1,0,7.0,S
894,0,2,male,62.0,0,0,9.6875,Q
895,0,3,male,27.0,0,0,8.6625,S
896,1,3,female,22.0,1,1,12.2875,S
897,0,3,male,14.0,0,0,9.225,S
898,1,3,female,30.0,0,0,7.6292,Q
899,0,2,male,26.0,1,1,29.0,S
900,1,3,female,18.0,0,0,7.2292,C
901,0,3,male,21.0,2,0,24.15,S
903,0,1,male,46.0,0,0,26.0,S
904,1,1,female,23.0,1,0,82.2667,S
905,0,2,male,63.0,1,0,26.0,S
906,1,1,female,47.0,1,0,61.175,S
907,1,2,female,24.0,1,0,27.7208,C
908,0,2,male,35.0,0,0,12.35,Q
909,0,3,male,21.0,0,0,7.225,C
910,1,3,female,27.0,1,0,7.925,S
911,1,3,female,45.0,0,0,7.225,C
912,0,1,male,55.0,1,0,59.4,C
913,0,3,male,9.0,0,1,3.1708,S
915,0,1,male,21.0,0,1,61.3792,C
916,1,1,female,48.0,1,3,262.375,C
917,0,3,male,50.0,1,0,14.5,S
918,1,1,female,22.0,0,1,61.9792,C
919,0,3,male,22.5,0,0,7.225,C
920,0,1,male,41.0,0,0,30.5,S
922,0,2,male,50.0,1,0,26.0,S
923,0,2,male,24.0,2,0,31.5,S
924,1,3,female,33.0,1,2,20.575,S
926,0,1,male,30.0,1,0,57.75,C
927,0,3,male,18.5,0,0,7.2292,C
929,1,3,female,21.0,0,0,8.6625,S
930,0,3,male,25.0,0,0,9.5,S
932,0,3,male,39.0,0,1,13.4167,C
934,0,3,male,41.0,0,0,7.85,S
935,1,2,female,30.0,0,0,13.0,S
936,1,1,female,45.0,1,0,52.5542,S
937,0,3,male,25.0,0,0,7.925,S
938,0,1,male,45.0,0,0,29.7,C
940,1,1,female,60.0,0,0,76.2917,C
941,1,3,female,36.0,0,2,15.9,S
942,0,1,male,24.0,1,0,60.0,S
943,0,2,male,27.0,0,0,15.0333,C
944,1,2,female,20.0,2,1,23.0,S
945,1,1,female,28.0,3,2,263.0,S
947,0,3,male,10.0,4,1,29.125,Q
948,0,3,male,35.0,0,0,7.8958,S
949,0,3,male,25.0,0,0,7.65,S
951,1,1,female,36.0,0,0,262.375,C
952,0,3,male,17.0,0,0,7.8958,S
953,0,2,male,32.0,0,0,13.5,S
954,0,3,male,18.0,0,0,7.75,S
955,1,3,female,22.0,0,0,7.725,Q
956,0,1,male,13.0,2,2,262.375,C
958,1,3,female,18.0,0,0,7.8792,Q
959,0,1,male,47.0,0,0,42.4,S
960,0,1,male,31.0,0,0,28.5375,C
961,1,1,female,60.0,1,4,263.0,S
962,1,3,female,24.0,0,0,7.75,Q
963,0,3,male,21.0,0,0,7.8958,S
964,1,3,female,29.0,0,0,7.925,S
965,0,1,male,28.5,0,0,27.7208,C
966,1,1,female,35.0,0,0,211.5,C
967,0,1,male,32.5,0,0,211.5,C
969,1,1,female,55.0,2,0,25.7,S
970,0,2,male,30.0,0,0,13.0,S
971,1,3,female,24.0,0,0,7.75,Q
972,0,3,male,6.0,1,1,15.2458,C
973,0,1,male,67.0,1,0,221.7792,S
974,0,1,male,49.0,0,0,26.0,S
978,1,3,female,27.0,0,0,7.8792,Q
979,1,3,female,18.0,0,0,8.05,S
981,0,2,male,2.0,1,1,23.0,S
982,1,3,female,22.0,1,0,13.9,S
984,1,1,female,27.0,1,2,52.0,S
986,0,1,male,25.0,0,0,26.0,C
987,0,3,male,25.0,0,0,7.7958,S
988,1,1,female,76.0,1,0,78.85,S
989,0,3,male,29.0,0,0,7.925,S
990,1,3,female,20.0,0,0,7.8542,S
991,0,3,male,33.0,0,0,8.05,S
